"Select Project","Seleziona Progetto"
"Select an option","Seleziona Progetto"
"Select Compensation","Seleziona Compenso"
"Our Terms and conditions","Termini e condizioni"
"Save","Salva"
"Fee","Compensazione"
"Select Fee","seleziona un compensazione"
"was added to your order total","è stato aggiunto al totale del tuo ordine"
"Fee was successfully deleted.","Compensazione è stata eliminata correttamente."
"Fee was successfully applied.","Compensazione è stata applicata correttamente."
